author,text,likeCount,publishedAt,Sentiments
@kaelidance,I am in AWE of how they built the sets and all the dancers and the costumes,41813,2025-10-05T23:06:43Z,neutral
@Mywonderland13,"She’s the definition of “every color suits me”  blonde, dark, red… all flawless!",41648,2025-10-05T22:57:35Z,positive
@BlairCall-c4l,I love how she used her Eras team!! The dancers!! They are incredible!,67270,2025-10-05T23:06:40Z,positive
@hypnotic-knock,This may be her best song yet.  The lyrics.  The tenor in her voice.  The production is far and above anything previous.  She just keeps getting better.,125,2025-11-08T00:24:59Z,positive
@SwifTea013,"this might be her best mv yet, the visuals, the choreography, the storytelling, the wigs everything is so on point and when you say you can’t be amazed this woman just does it again",59457,2025-10-05T23:05:15Z,positive
@WATERMEL0NLIPSTICK,"The seamless, smooth transitions between scenes is actually magical. This is one of her BEST music videos literally ever",16294,2025-10-05T23:55:46Z,positive
@urielbrg,who’s here before 1 million??,25155,2025-10-05T23:21:29Z,neutral
@LienRuD,"Hello everyone! I'm a 31-year-old woman from Russia, and I didn't understand why the world was going crazy over an ordinary pop singer. I'd heard news about her and her popularity, but I rarely listened to snippets of her songs and couldn't comprehend it. Recently, the internet was buzzing about her new album, and I decided to finally listen to her from start to finish, as well as watch her music videos. My world was completely turned upside down! I've been rejecting this diamond for years, but now I can't get enough of her voice, the beauty of her music videos, her lyrics, and her live performances! I just have a lump in my throat, but I'm in the same swamp as you, and I'm very happy!!! 🙏🏻❤️😭",15,2025-11-08T15:44:38Z,positive
@iamrilxyy,100M views!! ❤,4765,2025-11-02T14:14:04Z,neutral
@HeisenbergFam,Everyone who worked on this MV deserves a raise,18125,2025-10-05T23:03:10Z,neutral
@taylorhzx,3:57 VIDEO OF THE YEAR,9686,2025-10-05T23:04:27Z,neutral
@agungmulyanaiskandar8918,"i love taylor when she singing Country, but she also great at POP.",4,2025-11-08T16:47:23Z,positive
@mylenar.1350,I cannot believe she finally chose the best song on the album as lead single . With a mv that gives it justice LOVED LOVED LOVED,5697,2025-10-06T00:01:25Z,positive
@katepgirl,"She's mixing Shakespeare references, showgirls, and pure vibes. Iconic.",9906,2025-10-05T23:50:28Z,positive
@Gabby14477,Just came home from the cinema and saw this music video. This is 100% one of her best ones ever.,7885,2025-10-03T21:14:39Z,positive
@felipeaquino4508,someone listening today?,578,2025-11-08T11:28:45Z,neutral
@rtg7h,"The video is amazing but can we talk about the fact she brought the Eras Tour dancers to be a part of it? They were literally there with her on tour when she and Travis started, when he went on stage, when she changed the Karma lyrics, and now are here when she's singing about him changing her heart's faith. That's so lovely ❤️‍🔥",2813,2025-10-05T23:05:36Z,positive
@cwoissant_22,This is arguably her best music video ever and the fact that it's self directed is insane wow,5883,2025-10-05T23:28:13Z,positive
@martinooonachef,"💚 She opened her diary and let the world read
💛 She taught us to be fearless
💜 She taught us to speak now and use our voice
❤️ She was there through the heartbreaks
🩵 She showed us it’s okay to begin again
🖤 She taught us that even people can be snakes
🩷 She showed us love is worth it—even if it doesn’t last
🩶 She taught us that storytelling can heal
🤎 She reminded us it’s okay to feel deeply
💙 She stayed with us through the sleepless nights
🤍 She taught us that even pain holds poetry
❤️‍🔥 She reminded us that even in chaos, we can still take the stage and be a showgirl / showboy",4574,2025-10-05T23:30:04Z,positive
@serhatocal3653,The best Taylor Swift performance I've ever seen and the best song I've ever heard.,74,2025-11-07T15:10:02Z,positive
@GloRida96,"the orange bird flying out of the window in the final scene - remember her in an orange outfit in a bird cage in the look what you made me do video? She was caged, and now she's free. 🧡",7219,2025-10-06T01:11:35Z,positive
@paulkolo11,"Who else saw it already in the cinema? Cant wait for the video to drop, I just LOVE the storytelling! One of Taylor’s best music videos ever, it’s such a great production 🧡🎶",4376,2025-10-05T14:28:06Z,positive
@tttccc4539,"I have to say, her directing skills have really improved. From her early work The Man to this new one, she has made so much progress.",1709,2025-10-05T23:07:37Z,positive
@lilibeth5246,"Since 2006 making the world stop, love you Taylor❤️",10,2025-11-08T16:43:07Z,positive
@jeremydoeshair,I STILL can’t believe she filmed this in silence with just an ear piece so the music wouldn’t get leaked!!! I could never!!!! ❤❤❤❤❤❤,2474,2025-10-06T00:14:49Z,neutral
@UpulArangalla,"This isn’t a MV… it’s a movie, a poem, and a masterpiece all in one...",904,2025-10-06T01:54:28Z,neutral
@Malwandlasmile,"finally 100M views, now aiming to 200M❤",5,2025-11-08T15:40:51Z,neutral
@justinkevindubreuil,"I SO GET IT! the last album she WAS Ophelia, a tortured poet drowning in her heartbreak and then she met Travis and he rescued her from that fate and now she’s reclaiming her story - like 😭😭❤️❤️",1921,2025-10-05T23:21:37Z,neutral
@beauteapolitan,WE NEED MUSIC VIDEOS FOR ALL THE TRACKS IN THIS ALBUM!!! 😭,1098,2025-10-06T05:42:49Z,neutral
@narunde,This isn’t just a music video — it’s a cinematic experience. Taylor’s mind >>>,2614,2025-10-06T00:01:32Z,neutral
@Tuckrzrrider,The red outfit is so pretty,6,2025-11-08T17:09:45Z,positive
@MacyXoxo01,"THE LOOKS
THE CHOREOGRAPHY
THE DANCERS
TAYLOR OFFICIALLY MADE HER BEST MUSIC VIDEO EVER OMG",1258,2025-10-05T23:10:13Z,positive
@ch-w6309,I've seen the music video in the cinema and I'm sure everyone will love it. I think this is Taylor Swift's most invested music video for an album release in years.,1858,2025-10-04T03:12:43Z,positive
@beginshowgirl,"saw this in the cinema, i am back because i love it sm.",1484,2025-10-05T21:29:45Z,positive
@JosephMwansa007,"No doubt this song is absolutely a masterpiece, and one of my favorites so far. And the visuals, the choreography, the storytelling, and the dancers are absolutely incredible.",31,2025-11-07T13:27:41Z,positive
@CherrieK_13,"my guy this is INSANE. The absolute detail, the bread, the ‘kitty’ on the film snappy thingy, the letters on the chalkboard, the Oscar on the bathroom floor. You’ve done it again Taylor.",1927,2025-10-06T06:02:03Z,negative
@sirgourabhimself,"Every time I think she’s peaked, she proves me wrong again. The growth, the artistry, the emotion — she’s literally once in a generation 🫶",1467,2025-10-05T23:30:07Z,negative
@ttalgi1211,"a picture of travis on the mirror, 87 on the door, and the football catch!!! oh this lover girl 🥹😭 and she released this today on his birthday!!!",4118,2025-10-05T23:17:39Z,neutral
@AidalizSanabria-v7n4k,"Taylor giving us so much talent before 2006, I Can’t believe how much you came in these years, Taylor Swift…",3,2025-11-08T17:40:53Z,positive
@andy07.r,"""Late one night, you dug me out of my grave... and saved my heart from the fate of Ophelia."" This is a pure masterpiece. 🤯🎬😭",1388,2025-10-05T22:42:27Z,negative
@LeonieGenevieve-x2h,✨ I love how she transitions through different time periods-different Ophelias across eras. It feels like she’s a time traveler weaving through history. ✨,455,2025-11-05T00:45:25Z,positive
@Baileejordanross,Didn’t see anyone talking about it— but the hotel room she goes into at the end of the video is “87”. Travis is literally her safe space at the end of the night!!,719,2025-10-06T01:07:47Z,positive
@amandaplzmusic,Congratulations on being the world’s top artist ✅,4,2025-11-08T15:34:59Z,positive
@FelicityPlayz,0:26 HER SOURDOUGH MADE IT!!! congrats sourdough🎉🎉🎉,1295,2025-10-06T03:56:59Z,neutral
@gvd3975,No one’s commented yet about how she worked the cover into the ending! I was so confused about the artwork for this album but now I get it.,289,2025-10-06T14:17:10Z,negative
@kendravlad,"THE SETS, THE TRANSITIONS, THE OUTFITS, THE STORYTELLING, THE DANCERS EVERYTHING IS SHOWSTOPPING",1203,2025-10-06T08:20:02Z,neutral
@lolmeditando13,OPHELIA 💙,4,2025-11-08T16:44:33Z,neutral
@OTWHOME,"She is officially the only other artist besides Prince to simultaneously hold the No. 1 film, song, and album in the United States. Icon WHO OWNS HER HARD WORK!!",778,2025-10-06T00:08:34Z,negative
@anushkasatam8093,The small orange door icon 🚪 at the bar is just so cute and iconic. The small details !,2129,2025-10-06T11:36:54Z,positive
@Grace-j8q8g,I keep listen to the WHOLE album over and over again. NONSTOP .,271,2025-10-06T12:26:36Z,positive
